train_win,test_win,lag,same_state,state_i,state_j,jsd,pair_id,seed,f1
9,2,7,0,3,0,0.006691,79,-1,0.6609087586402893
9,3,6,0,3,0,0.003513,114,-1,0.6560899019241333
9,4,5,0,3,0,0.002623,149,-1,0.6413109302520752
9,5,4,0,3,0,0.003009,184,-1,0.6267778873443604
9,6,3,0,3,0,0.000949,219,-1,0.6386815309524536
9,7,2,0,3,0,0.002247,254,-1,0.6501768827438354
9,8,1,1,3,3,0.000167,289,-1,0.6456729173660278
9,10,1,1,3,3,0.000348,325,-1,0.6459198594093323
9,11,2,1,3,3,0.001978,326,-1,0.6380506753921509
9,12,3,0,3,5,0.025875,327,-1,0.6151069402694702
9,13,4,0,3,5,0.019219,328,-1,0.6309481859207153
9,14,5,0,3,5,0.038307,329,-1,0.5100090503692627
9,15,6,0,3,5,0.038926,330,-1,0.5135068893432617
9,16,7,0,3,5,0.050345,331,-1,0.4913254976272583
9,17,8,0,3,5,0.05301,332,-1,0.4930092692375183
9,18,9,0,3,5,0.049202,333,-1,0.5053500533103943
9,19,10,0,3,5,0.047934,334,-1,0.5035844445228577
9,20,11,0,3,2,0.067716,335,-1,0.4462718963623047
9,21,12,0,3,2,0.092863,336,-1,0.4550341069698334
9,22,13,0,3,2,0.139986,337,-1,0.3987105190753937
9,23,14,0,3,6,0.1472,338,-1,0.3842933475971222
9,24,15,0,3,6,0.123373,339,-1,0.3986310660839081
9,25,16,0,3,6,0.149369,340,-1,0.3981983959674835
9,26,17,0,3,6,0.165329,341,-1,0.3875027596950531
9,27,18,0,3,6,0.1658,342,-1,0.4050198793411255
9,28,19,0,3,1,0.196417,343,-1,0.38853082060813904
9,29,20,0,3,1,0.215416,344,-1,0.38125985860824585
9,30,21,0,3,1,0.211439,345,-1,0.38927385210990906
9,31,22,0,3,1,0.291842,346,-1,0.34785959124565125
9,32,23,0,3,1,0.299939,347,-1,0.34502309560775757
9,33,24,0,3,1,0.30659,348,-1,0.3517124354839325
9,34,25,0,3,4,0.292514,349,-1,0.2763678729534149
10,0,10,0,3,0,0.002866,10,-1,0.6469587087631226
10,1,9,0,3,0,0.002732,45,-1,0.6652340292930603
10,2,8,0,3,0,0.006584,80,-1,0.658904492855072
10,3,7,0,3,0,0.003367,115,-1,0.6597071886062622
10,4,6,0,3,0,0.002087,150,-1,0.6516361832618713
10,5,5,0,3,0,0.002603,185,-1,0.6298124194145203
10,6,4,0,3,0,0.001041,220,-1,0.6413128972053528
10,7,3,0,3,0,0.002182,255,-1,0.6527448296546936
10,8,2,1,3,3,0.00037,290,-1,0.6501069664955139
10,9,1,1,3,3,0.000348,325,-1,0.6413009762763977
10,11,1,1,3,3,0.001315,361,-1,0.6491119861602783
10,12,2,0,3,5,0.027904,362,-1,0.6184203028678894
10,13,3,0,3,5,0.019724,363,-1,0.6397331953048706
10,14,4,0,3,5,0.038154,364,-1,0.5157659649848938
10,15,5,0,3,5,0.039772,365,-1,0.5219045877456665
10,16,6,0,3,5,0.050726,366,-1,0.49635177850723267
10,17,7,0,3,5,0.054318,367,-1,0.49634748697280884
10,18,8,0,3,5,0.049988,368,-1,0.5120143890380859
10,19,9,0,3,5,0.04832,369,-1,0.5124025344848633
